-2.428947471919e-01,5.205216723951e-01,2.159397067990e+00,-7.822152104741e-01,-6.985801355780e-01
-5.105451711286e-01,1.330363677584e-01,2.070779285631e-01,1.497654173149e-01,-5.912379132100e-01
3.164181053255e-01,-7.969628390626e-02,1.477196855477e+00,-4.438811595583e-01,3.973656622775e-01
-1.051156974648e+00,-1.128796075635e+00,5.849085343454e-01,1.839892928529e+00,1.409982510646e-01
1.614183139880e+00,-7.091667028960e-01,-3.124099153480e-01,-8.143311912781e-01,-2.149912464542e-01
-2.208044914610e+00,-4.177770918015e-01,-6.096888759893e-01,-5.798309201325e-01,-6.360671341268e-01
1.168124322655e+00,-5.397399327520e-01,9.411144863506e-01,-5.492403069477e-01,1.749915069050e-01
1.305134104123e+00,-1.017432081719e+00,1.645512281625e-01,7.044851484356e-01,1.625283496342e+00
2.627930052548e-01,1.757217249140e+00,-1.983868851624e+00,-6.673740914520e-01,-2.991163045559e+00
7.937572141301e-01,-2.196428985981e-02,-1.576277091989e+00,6.195152983216e-02,-9.551627317700e-01
1.639870030455e-01,2.739203336821e-01,4.230717939691e-02,-8.475347358107e-02,1.405623246579e-01
-1.476402305451e+00,-7.408485564636e-01,5.554838046094e-01,1.765191264286e-01,-8.369650980463e-01
2.240637514741e+00,7.123277195588e-01,-1.596072097713e+00,1.297191905202e+00,4.049217682809e-01
6.037378059046e-01,-1.459583982717e+00,1.895137893944e+00,-3.715825578271e-01,-1.457514516171e-01
1.152050680734e+00,-9.192898143616e-01,-9.587484306668e-01,1.366921163302e-01,-1.614392704325e+00
1.843499464436e-02,-6.761083665044e-01,1.627238944980e-01,-1.388421011011e+00,1.446480753704e+00
-8.179552938798e-01,-2.938584396958e-01,-4.193652081852e-01,2.823170026234e-01,-7.709864038935e-02
-5.115348534760e-01,3.761403040471e-01,-3.451127573181e-01,-2.959232701729e-01,-1.757900037226e-01
2.088948761984e+00,-8.628201594557e-01,1.829885752541e-01,-5.852195151036e-01,-1.021837312808e+00
1.802373336722e+00,-8.373738226126e-01,1.666368650166e+00,7.154885484577e-01,-3.893657819744e-01
-1.586993235911e+00,-1.235373670172e+00,6.801856529584e-01,-1.213601419165e+00,-5.350789715509e-01
-8.585143450598e-01,1.227373806373e+00,-1.367928158394e+00,-5.092537044299e-02,-9.788686388821e-01
1.781638670755e+00,6.148657781324e-01,-1.123201064824e+00,5.686912978811e-01,1.112788004199e+00
1.835218153037e+00,-3.912608200567e-02,-3.482136817549e-01,2.010956591989e+00,-9.684731259479e-01
-1.305375300473e+00,5.946389298997e-01,4.277439280290e-01,-3.078267019392e-01,1.233352140647e+00
2.032769046940e+00,7.078015948661e-01,7.554916393902e-02,1.898996031110e+00,-1.442929552528e-01
7.402942693081e-01,-6.002252743333e-01,-1.163089315426e+00,-9.407111760484e-01,7.765011582099e-01
-2.555468844911e-01,-1.297266321354e+00,1.513910592814e+00,-1.113387289736e+00,-7.429086946063e-01
3.110900132442e+00,1.472619566012e-02,9.437228546580e-01,-1.304466792372e-01,-2.102657481866e+00
6.070519645567e-01,-1.359348607682e-01,-2.245020732428e-01,1.436478524500e+00,1.559868919233e-01
4.948880818687e-01,-6.302700778055e-01,-1.353692621096e+00,1.147069423676e+00,-1.095745301332e-01
5.620695483660e-01,1.588979569059e-01,-5.382731413255e-01,3.505982085337e-01,1.000266220409e+00
1.670447197244e-01,3.891558251292e-01,3.853040461827e-01,3.307813893863e-01,-5.598953300791e-01
-5.084341198138e-01,-7.582995981583e-01,4.129825394242e-01,-1.126258211410e+00,8.746711119339e-01
-3.640562182684e-01,6.214167871131e-01,-7.481855749917e-02,1.878880217981e-01,5.298831738331e-01
-1.917721223615e+00,-8.088383994157e-02,1.341505911110e+00,1.636526948410e-01,8.816382270123e-01
-1.165650520459e+00,2.862090800980e-01,4.371697043865e-01,-1.370794473746e-01,-1.813983859183e+00
7.145453408268e-01,-5.912477211710e-01,-1.842557862389e+00,1.606295151273e+00,-1.346453373588e+00
-6.796750073119e-01,3.070568181039e-01,1.480772495542e+00,-1.193602974151e+00,-7.730692373877e-02
4.195413516252e-01,-6.533137517792e-01,2.891384740563e-01,-1.473530956647e+00,-9.244303511720e-01
1.150462451782e+00,6.653012625323e-03,1.149146251409e-01,-8.845581486324e-01,-3.096412622606e-01
-2.283232283496e-01,-1.731583707018e+00,-5.866997404541e-01,-4.792384042731e-01,5.729673396750e-01
-4.671596428756e-01,1.251118362054e-01,-3.591571454638e-01,-1.240315460589e+00,3.773159320382e-01
-1.968507738611e+00,1.106560503072e+00,4.448822410571e-01,-2.297561751575e-02,-2.785461921791e-01
-3.947617167985e-01,1.262091449179e+00,-1.276817949006e+00,-1.811874995532e+00,-1.441730611091e+00
1.267874503312e+00,-1.657951599866e+00,1.936101138920e-01,-5.629930994650e-01,-1.338250516671e-01
-2.411364533263e+00,1.305801831110e+00,-1.506768119194e+00,-1.369669336193e+00,4.711302569371e-01
-1.068307357397e+00,-2.248940746447e-01,8.682596014512e-01,2.012069443775e-02,2.329129704417e-01
-2.425861459214e-01,-4.744957237319e-01,-1.041726311884e+00,-1.038731016297e+00,-6.105057076155e-01
-1.472384880199e-01,-1.241230107596e+00,2.613549392184e-01,6.753600763270e-01,9.592558601621e-01
